URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1443959326049098918?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P32rHz1RTk3lLAZA&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Malqa,"Apartment in the heart of Al-Malqa neighborhood, north of Riyadh",,,,[],,,,[],[]
https://www.airbnb.com/rooms/1465709494605612445?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3EfA3DtxeKVZrfB&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Aqeeq,SARA 3 | Cozy &amp; Stylish Studio,$51,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Shower gel', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Iron', 'TV', 'Arcade games', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Hot water kettle', 'Wine glasses', 'Free parking on premises', 'Elevator', 'Pets allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1388865175192131472?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P36sOD1_DwTvGqYO&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Aqeeq,Room Apartment and Lounge next to the Boulevard,$55,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Iron', 'Clothing storage: wardrobe and dresser', 'TV', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Microwave', 'Mini fridge', 'Hot water kettle', 'Coffee', 'Free street parking', 'Elevator', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Smart lock', 'Housekeeping available from 11:00\u202fAM to 6:00\u202fPM, every day', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1450808882571831685?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2226811461&source_impression_id=p3_1753381175_P32L0fQ88NowS1CQ&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Room in Al Aqeeq,A distinctive studio behind the financial towers,,,1 bed,"['1 bed', 'No bathroom']",,,نيره,[],"['Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Iron', 'TV', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Refrigerator', 'Hot water kettle', 'Self check-in', 'Smart lock', 'Unavailable: Lock on bedroom door\nLock on bedroom door', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1210957842860636414?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3uZTNtRFBNznKqN&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Yasmeen,Modern Self-Check-In Studio | Stylish &amp; Cozy Stay,$59,,3 guests,"['1 bedroom', '1 bed', '1 bath']",4.74,57,Aljurbua Ali Abdullah M,[],"['Hair dryer', 'Hot water', 'Iron', 'Clothing storage: closet', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Microwave', 'Hot water kettle', 'Private entrance', 'Free parking on premises', 'Free street parking', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1254178589061808232?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3M1bEOFwl038wEP&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in An-Narjis,Nma'a Residences - النرجس · Elegant room and hall,,,3 guests,"['1 bed', '1 bath']",4.78,32,,[],"['Iron', 'TV', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Self check-in', 'Keypad', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1339541132791988416?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P33GB7juWRumBsky&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Aqeeq,N4 Deluxe Apartment Room and Lounge,$73,,6 guests,"['1 bedroom', '1 bed', '1 bath']",4.71,31,,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Safe', 'Clothing storage: wardrobe', 'TV', 'Outlet covers', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Trash compactor', 'Barbecue utensils', 'Coffee', 'Laundromat nearby', 'Patio or balcony', 'Private backyard', 'Outdoor furniture', 'Outdoor dining area', 'Free parking on premises', 'Free street parking', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Smart lock', 'Cleaning available during stay', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1307375411941316094?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3b2lS5jX9698V0P&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Place to stay in Dhahrat Laban,Sleep zone hostel 4,$25,,1 guest,"['1 bedroom', '1 bed', '1 private bath']",,,,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Paid dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', 'HDTV', 'Exercise equipment', 'Books and reading material', 'Air conditioning', 'Portable heater', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Coffee maker: drip coffee maker, espresso machine', 'Trash compactor', 'Dining table', 'Coffee', 'Laundromat nearby', 'Free parking on premises', 'Free street parking', 'Elevator', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1356370604930132666?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3-e54Uqmg03B3sc&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Malqa,Quiet and Elegant Self-Instrument Apartment,$63,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,Abdulghani Mohammed A,[],"['TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Paid parking on premises', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1458084701777073494?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381175_P3CNClVlJoNJ1jQ0&previous_page_section_name=1000&federated_search_id=f484a06c-ff0c-4b92-a038-96f4cff7e6a7,Apartment in Al Aqeeq,Cozy Apartment in Al Alqeeq,$45,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage', 'TV', 'Air conditioning', 'Heating', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Dedicated workspace', 'Kitchen', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
