URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1184971521503321695?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379128_P3kO67j-mj50EOrY&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Aarid,Modern &amp; Spacious (الدخول ذاتي ) G7,$59,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1423077322546907466?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3EMTJlBROvQH4m5&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Ash-Shohda,Stylish Bohemian Style Studio,$41,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Outdoor shower', 'TV', 'Air conditioning', 'Wifi', 'Kitchen', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1123162598669960020?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3zgrsk5mNn-nIz8&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Malqa,Noah Studio 1 &amp; Luxury bedroom apartment,$54,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Outdoor shower', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Drying rack for clothing', 'Safe', 'Ethernet connection', 'TV', 'Sound system', 'Books and reading material', 'Life size games', 'Window guards', 'Air conditioning', 'Portable fans', 'Heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Freezer', 'Coffee maker: drip coffee maker', 'Toaster', 'Trash compactor', 'Coffee', 'Bread maker', 'Laundromat nearby', 'Free parking on premises', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Smart lock', 'Cleaning available during stay', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1192126674324265902?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3YuaK7mrXu4YZyk&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Aqeeq,Private Very Small Room and bathroom (no wifi),$31,,1 guest,"['1 bedroom', '1 bed', '1 bath']",4.68,31,,[],"['Hot water', 'TV', 'Air conditioning', 'Refrigerator', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/852735455035493810?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3RX6MQ6M285DHj4&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Yasmeen,1bedroom with  private bathroom and door access,,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Air conditioning', 'Dedicated workspace', 'Refrigerator', 'Free parking on premises', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1226653078826430657?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3w0y7pfM_D7w6oo&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Yasmeen,New hotel-style apartment with smart entry,$171,,7 guests,"['3 bedrooms', '5 beds', '3 baths']",,,,[],"['Washer', 'TV', 'Piano', 'Exercise equipment', 'Pool table', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Coffee', 'Outdoor dining area', 'Pool', 'Self check-in', 'Smart lock', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1224522182029485173?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3kIp8LVwYmy60nU&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Aqeeq,New Prime Location Studio by MOANA Residence N24,$56,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Paid washer', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1382776303479114602?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P31eM_fwNXVknbyA&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in An-Narjis,B209 studio close to airport,$49,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Hangers', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Air conditioning', 'Heating', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Refrigerator', 'Microwave', 'Cooking basics', 'Freezer', 'Hot water kettle', 'Laundromat nearby', 'Free street parking', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Housekeeping available from 2:00\u202fPM to 6:00\u202fPM - available at extra cost', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance']"
https://www.airbnb.com/rooms/1398220246932742656?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P36Fz45P0t4bKqV1&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Maseef,14 luxury rooms in Al Taawon neighborhood,$47,,2 guests,"['1 bedroom', '1 bed', '1 bath']",4.59,22,,[],"['Iron', 'TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1425988381115913905?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753379130_P3FKjeIpDtQaWDIf&previous_page_section_name=1000&federated_search_id=802635e2-47dd-4161-8e6f-2593a80c8caf,Apartment in Al Aqeeq,WAFA Studio - 1B,$45,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
