url,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Host_Name,Total_Reviews,Host_Info
https://www.airbnb.com/rooms/1180484327579329938?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3sWF2EHMIJuVsgB&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Self-enterating VIP Studio 10,,,,[],,,,[]
https://www.airbnb.com/rooms/1428816393196956410?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3tgxsouexfcQHi_&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,A Luxury Self Entry Studio,$299,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1359611177430917183?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3KuWhW34yRJZcSa&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,"A luxurious studio with an upscale building
Smart Screen | Self-Add|Wifi",$272,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1339149060373704465?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3ZbThpXkbnH4a06&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Luxury Hotel Apartment with Smart Entrance,$361,,3 guests,[],,,,[]
https://www.airbnb.com/rooms/1252033510751233877?search_mode=regular_search&adults=1&check_in=2025-07-29&check_out=2025-08-03&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3qbhuKfardvyGK2&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,The Small Details (2) (Self-check-in),$263,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1264633142777067717?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3O-pkf0jc0mD17v&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Luxury Autonomous Apartment - V001,$386,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1244180684196306367?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3lzV-SvG6w_MMXe&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,New Apartment in Narcissus,$386,,3 guests,[],,,,[]
https://www.airbnb.com/rooms/1368816722394677852?search_mode=regular_search&adults=1&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3LpAqFTBPmI1J09&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Narcissus A- Stylish Hotel Design Studio # N203,$260,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1459038336433053419?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3iDEM_612qbfFw2&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Narcissus B - Luxury apartment with balcony N 08#,$332,,4 guests,[],,,,[]
https://www.airbnb.com/rooms/852735455035493810?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3wXB_k5IxtyEsSD&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,1bedroom with  private bathroom and door access,$209,,1 guest,[],,,,[]
https://www.airbnb.com/rooms/1203148968501645144?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3bf0jDICnPNt2nC&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Serene &amp; Cozy (دخول ذاتي ) T1,$410,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1450893418295017448?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3ofTNF7WveD2LIV&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,B6 | Bedroom and living room with smart entrance,$416,,4 guests,[],,,,[]
https://www.airbnb.com/rooms/1458359627316742055?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3TezUK9XfZ3aO_Y&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Narcissus B - Integrated Studio with Elegant Hotel Design N 110#,$278,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1426579781900416256?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3pBcdZvVOfJ0m8Z&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Details luxury Apartmen| Self-entry|Al Aarid | HAN,$800,,5 guests,[],,,,[]
https://www.airbnb.com/rooms/1418424874774370198?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3Vn4YsXtpGGTIA4&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,NG11 Luxury Hotel Apartment Al Nargis,$502,,4 guests,[],,,,[]
https://www.airbnb.com/rooms/1397142374320177383?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P34b63i9lvUa0c-R&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Cozy and modern Studio | Self Check-in&nbsp;,$289,,2 guests,[],,,,[]
https://www.airbnb.com/rooms/1429023820546093631?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3ydbWU_Ws5n2Xyx&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,An Narjis Condo Apartment 1,$240,,1 guest,[],,,,[]
https://www.airbnb.com/rooms/1426832609466160328?search_mode=regular_search&adults=1&check_in=2025-07-18&check_out=2025-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1752133133_P3uC15shKXJzfTSJ&previous_page_section_name=1000&federated_search_id=7ad39af2-15b5-4853-9aaf-1562975ca558,Modern Studio,$270,,2 guests,[],,,,[]
