URL,Card_Location,Title,Price,Address,Guest,Bed_Bath_Details,Rating,Total_Reviews,Host_Name,Host_Info,Amenities
https://www.airbnb.com/rooms/1246416352080586291?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381541_P3EEwaCmz9VzqmJ6&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Malqa,Quite and stylish studio,$55,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,Meshal,[],[]
https://www.airbnb.com/rooms/1387893058999171115?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3IKj70FYfhwiq_H&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Sulaimaniya,Quite and beautiful studio,$64,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],[]
https://www.airbnb.com/rooms/1427832089552423899?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3CLLfpnKXh2oCVB&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Aqeeq,Comfortable and luxurious studio overlooking the towers and self check-in,$72,,4 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'TV', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Microwave', 'Mini fridge', 'Hot water kettle', 'Coffee maker: drip coffee maker', 'Wine glasses', 'Coffee', 'Laundromat nearby', 'Free parking on premises', 'Free street parking', 'Pets allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Housekeeping available 24 hours, every day - available at extra cost', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1307347083198577269?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3pv4ofSF7zt_6b7&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Place to stay in Dhahrat Laban,Sleep zone hostel 2,$22,,1 guest,"['1 bed', '1 shared bath']",,,,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Washer', 'Paid dryer – In unit', 'Essentials', 'Hangers', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'HDTV with Netflix', 'Exercise equipment', 'Books and reading material', 'Crib', 'Air conditioning', 'Portable heater', 'First aid kit', 'Wifi – 39 Mbps', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Cooking basics', 'Mini fridge', 'Freezer', 'Hot water kettle', 'Coffee maker: drip coffee maker, espresso machine', 'Wine glasses', 'Dining table', 'Laundromat nearby', 'Free parking on premises', 'Elevator', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Housekeeping available 2 hours a day, every day', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/1184972187465678815?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3ETpiEKg0d8lp8A&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Aarid,Modern &amp; Spacious (الدخول ذاتي ) G8,$59,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Trash compactor', 'Laundromat nearby', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1429755657383621549?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3fLVMA3g9M7iPXB&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Malqa,Furnished room,$48,,1 guest,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Outdoor shower', 'Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Fire pit', 'Self check-in', 'Smart lock', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1375620030277159046?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3b1pbZmG6WV-A6H&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Munsiyah,Smart Entry Studio – Quiet Stay in Mounsia,$39,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Iron', 'TV', 'Air conditioning', 'Wifi', 'Free parking on premises', 'Smoking allowed', 'Self check-in', 'Keypad', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1435009871347209926?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P38lhnJJBG6WhDVk&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Al Malqa,Everyone's house is behind Boulevard 2,$53,,3 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Ethernet connection', 'TV', 'Sound system', 'Books and reading material', 'Outlet covers', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Trash compactor', 'Free parking on premises', 'Paid parking on premises', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1431256143436859513?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3IM2NAgmDXIVZC0&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Qurtubah,Studio with Jacuzzi 220,$78,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['TV', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Free parking on premises', 'Hot tub', 'Self check-in', 'Smart lock', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1232944601241094808?check_in=2025-08-01&check_out=2025-08-02&search_mode=regular_search&source_impression_id=p3_1753381543_P3NAarNtxhSAGWwN&previous_page_section_name=1000&federated_search_id=680a5d46-db6e-4097-9933-fde92f476723,Apartment in Hitteen,"Modern Hittin Studio , Self-Entry, Near BLVD",$63,,2 guests,"['1 bedroom', '1 bed', '1 bath']",,,,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Safe', 'Clothing storage', 'TV', 'Books and reading material', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Mini fridge', 'Coffee maker', 'Free parking on premises', 'Self check-in', 'Smart lock', 'Unavailable: Washer\nWasher', 'Unavailable: Private entrance\nPrivate entrance']"
